,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
0,"""fecha_dato""",,"""ind_empleado""","""pais_residencia""","""sexo""","""age""","""fecha_alta""","""ind_nuevo""","""antiguedad""","""indrel""","""ult_fec_cli_1t""",,"""tiprel_1mes""","""indresi""","""indext""","""conyuemp""","""canal_entrada""","""indfall""","""tipodom""","""cod_prov""","""nomprov""","""ind_actividad_cliente""",,"""segmento""",,,,,,,,,,,,,,,,,,,,,,"""ind_nomina_ult1""","""ind_nom_pens_ult1""",
1,2015-01-28,1375586.0,N,ES,H, 35,2015-01-12, 0,      6, 1,,1.0,A,S,N,,KHL,N, 1,29,"""MALAGA""", 1,87218.1,02 - PARTICULARES,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
2,2015-01-28,1050611.0,N,ES,V, 23,2012-08-10, 0,     35, 1,,1.0,I,S,S,,KHE,N, 1,13,"""CIUDAD REAL""", 0,35548.74,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
3,2015-01-28,1050612.0,N,ES,V, 23,2012-08-10, 0,     35, 1,,1.0,I,S,N,,KHE,N, 1,13,"""CIUDAD REAL""", 0,122179.11000000002,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
4,2015-01-28,1050613.0,N,ES,H, 22,2012-08-10, 0,     35, 1,,1.0,I,S,N,,KHD,N, 1,50,"""ZARAGOZA""", 0,119775.54,03 - UNIVERSITARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
5,2015-01-28,1050614.0,N,ES,V, 23,2012-08-10, 0,     35, 1,,1.0,A,S,N,,KHE,N, 1,50,"""ZARAGOZA""", 1,,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
6,2015-01-28,1050615.0,N,ES,H, 23,2012-08-10, 0,     35, 1,,1.0,I,S,N,,KHE,N, 1,45,"""TOLEDO""", 0,22220.04,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
7,2015-01-28,1050616.0,N,ES,H, 23,2012-08-10, 0,     35, 1,,1.0,I,S,N,,KHE,N, 1,24,"""LEON""", 0,295590.36,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
8,2015-01-28,1050617.0,N,ES,H, 23,2012-08-10, 0,     35, 1,,1.0,A,S,N,,KHE,N, 1,50,"""ZARAGOZA""", 1,113316.66,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
9,2015-01-28,1050619.0,N,ES,H, 24,2012-08-10, 0,     35, 1,,1.0,I,S,N,,KHE,N, 1,20,"""GIPUZKOA""", 0,,03 - UNIVERSITARIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0, 0,0.0
